# Position_mm,Temperature_K,H2,H,O,O2,OH,H2O,HO2,H2O2,AR,N2
0.000000000000000000e+00,3.000000000000000000e+02,2.852238752756899171e-02,-3.197386331183271188e-16,1.501418155679363448e-15,2.263540069712368652e-01,1.281123915113028350e-14,6.822672929258220239e-17,-3.317029793695579741e-14,-1.256985461507894337e-14,3.495420808120759874e-19,7.451236055012258053e-01
2.500000000000000444e+00,3.000000000000968043e+02,2.852238752756748943e-02,7.736105807336057918e-20,1.405124567888824618e-15,2.263540069712231262e-01,2.574873287910385725e-16,1.349861138899866888e-14,-1.898226085136941202e-14,-1.260058346208286130e-14,-4.671520731858132455e-19,7.451236055012258053e-01
5.000000000000000888e+00,3.000000000001013518e+02,2.852238752756743739e-02,4.613408859835893057e-21,1.313829474660784672e-15,2.263540069712222935e-01,6.994908883482495498e-18,1.386217195942235565e-14,-1.808568586072322037e-14,-1.263143837581881820e-14,-3.218026792016576638e-18,7.451236055012258053e-01
6.250000000000000888e+00,3.000000000001023750e+02,2.852238752756742352e-02,2.298052640129718684e-21,1.272841409955506207e-15,2.263540069712220715e-01,2.165285815399941319e-18,1.392073191147796695e-14,-1.784458670278038180e-14,-1.264231900757760940e-14,5.220908446730788580e-19,7.451236055012258053e-01
7.500000000000001776e+00,3.000000000001032276e+02,2.852238752756741311e-02,1.872455128638007845e-21,1.230671481543720000e-15,2.263540069712218772e-01,1.808204540912648306e-18,1.396791679026676808e-14,-1.764583103157980483e-14,-1.265674669508450852e-14,1.533929947881859798e-19,7.451236055012258053e-01
8.750000000000000000e+00,3.000000000001040235e+02,2.852238752756740270e-02,1.822654567266067473e-21,1.190036368964602874e-15,2.263540069712217107e-01,1.744638578770838277e-18,1.401353249240182418e-14,-1.745178488483601205e-14,-1.267089857922138829e-14,3.995753150363761582e-20,7.451236055012258053e-01
1.000000000000000178e+01,3.000000000001046487e+02,2.852238752756739229e-02,1.462699350672691454e-21,1.147947598941758957e-15,2.263540069712215719e-01,1.561487626924769192e-18,1.405211203517607050e-14,-1.729401879319259459e-14,-1.268903640647453077e-14,-4.641214437367444196e-18,7.451236055012258053e-01
1.125000000000000178e+01,3.000000000001055014e+02,2.852238752756738535e-02,1.900443803472030766e-21,1.112073734917745929e-15,2.263540069712213776e-01,1.707689254612185081e-18,1.409848028171446003e-14,-1.708975662369726096e-14,-1.270026496951570892e-14,-1.511449361168556500e-18,7.451236055012258053e-01
1.250000000000000000e+01,3.000000000001064109e+02,2.852238752756737494e-02,2.095536471345121769e-21,1.079585668260217018e-15,2.263540069712211833e-01,1.766529080770105198e-18,1.414812307546014835e-14,-1.686543078758349093e-14,-1.270830403819960120e-14,5.271329322248395113e-18,7.451236055012258053e-01
1.312500000000000178e+01,3.000000000001066951e+02,2.852238752756737147e-02,1.382738374631802877e-21,1.060197928643575494e-15,2.263540069712211278e-01,1.468921217074006393e-18,1.416628409533965705e-14,-1.679050297237683125e-14,-1.271706816348427804e-14,3.218153209742555276e-18,7.451236055012258053e-01
1.375000000000000000e+01,3.000000000001069225e+02,2.852238752756735413e-02,1.083094212019983570e-21,1.039945629637600914e-15,2.263540069712210723e-01,1.316580826953600618e-18,1.418154542609868238e-14,-1.673033124700568951e-14,-1.272754008273235949e-14,-7.856638506987131254e-19,7.451236055012258053e-01
1.437499999999999822e+01,3.000000000001073204e+02,2.852238752756710086e-02,1.537424558203732995e-21,1.022662358115644510e-15,2.263540069712210723e-01,1.476558192317480335e-18,1.420114915619563327e-14,-1.664463331527710025e-14,-1.273442525363722444e-14,-7.115366041345771154e-19,7.451236055012260273e-01
1.500000000000000000e+01,3.000000000001080593e+02,2.852238752756234771e-02,3.582697112790389408e-21,1.014932511881009886e-15,2.263540069712221825e-01,2.288011501225377787e-18,1.423836650063258924e-14,-1.645857086390346853e-14,-1.272791462129728149e-14,1.467849068764320363e-17,7.451236055012294690e-01
1.531250000000000000e+01,3.000000000001080025e+02,2.852238752752749712e-02,-8.226101595729788467e-22,1.000134351526812621e-15,2.263540069712315084e-01,6.738603726699850325e-19,1.423771669508508294e-14,-1.647920557779882940e-14,-1.273999452481956359e-14,4.847192189823678933e-18,7.451236055012550041e-01
1.562500000000000000e+01,3.000000000001084572e+02,2.852238752717513662e-02,-1.180100773318625577e-21,9.858441467603124476e-16,2.263540069713256553e-01,3.609718515553342194e-19,1.423584245518381342e-14,-1.650204635469756401e-14,-1.275198166334682826e-14,-4.890390355986461998e-18,7.451236055015132420e-01
1.593750000000000000e+01,3.000000000001186322e+02,2.852238752361233032e-02,6.045075016836777250e-21,9.888256334669438231e-16,2.263540069722774217e-01,3.013816560091852059e-18,1.426441924773651678e-14,-1.634553836647764263e-14,-1.273968611920321504e-14,1.312667554608748821e-17,7.451236055041241535e-01
1.625000000000000000e+01,3.000000000002844445e+02,2.852238748758747361e-02,9.542908153282889153e-22,9.808454101865249692e-16,2.263540069819023337e-01,1.399740075190610439e-18,1.427462790074405536e-14,-1.632149991002917195e-14,-1.274586111996570013e-14,1.001877392266821946e-17,7.451236055305240358e-01
1.640625000000000000e+01,3.000000000013853878e+02,2.852238734648663426e-02,-1.926966696228110027e-21,9.906903124963681577e-16,2.263540070196009280e-01,3.900164150065771231e-19,1.430212870117959770e-14,-1.633213549933908168e-14,-1.275235915751839245e-14,4.331692241184634384e-18,7.451236056339262115e-01
1.656250000000000000e+01,3.000000000115034027e+02,2.852238656257483074e-02,1.354700890313887023e-20,1.164252361127008207e-15,2.263540072290422533e-01,5.024154655526450117e-18,1.469943580659584002e-14,-1.614881537586156117e-14,-1.273600642069239653e-14,2.203067237849194557e-17,7.451236062083961276e-01
1.671875000000000000e+01,3.000000001044767259e+02,2.852238220740791266e-02,-4.764618190732233227e-20,2.750512787993288618e-15,2.263540083926313951e-01,-1.029885932100769218e-17,1.963372764627240195e-14,-1.592878773010672681e-14,-1.277864883369760770e-14,-7.057718791969445634e-17,7.451236093999665799e-01
1.679687500000000355e+01,3.000000004364971460e+02,2.852237258953746121e-02,8.516645474739128243e-20,9.003727426377634877e-15,2.263540109622710073e-01,3.656294168642284062e-17,4.535055383841973351e-14,-1.147421603085294208e-14,-1.250211830517571721e-14,-7.309826052244766909e-18,7.451236164481610524e-01
1.687500000000000000e+01,3.000000021280448550e+02,2.852234106368359626e-02,1.342106697603947794e-19,4.237550409627868126e-14,2.263540193850863969e-01,2.259045856915724109e-16,2.290781842293403112e-13,1.924378175068439459e-14,-1.079658198605149128e-14,-3.265754496003384918e-17,7.451236395509497346e-01
1.695312500000000000e+01,3.000000107460269874e+02,2.852223772700590576e-02,1.500896061306812577e-18,2.216300570271934054e-13,2.263540469933094379e-01,2.461492779940142004e-15,1.543827423733783406e-12,2.518110327869444961e-13,2.641043315923892013e-15,-3.943230977244694342e-17,7.451237152776620798e-01
1.703125000000000000e+01,3.000000546523501157e+02,2.852189900673468212e-02,1.701355411732438377e-17,1.184056360483859970e-12,2.263541374854443344e-01,2.931596754583403524e-14,1.094300993637102226e-11,1.992820274116395958e-12,1.072645873978570147e-13,2.658621604950318754e-17,7.451239634935646894e-01
1.707031250000000355e+01,3.000001440246557536e+02,2.852144031786283535e-02,9.003779470067198762e-17,3.241897522293660456e-12,2.263542600201726152e-01,1.582446947069253342e-13,3.727136958744065172e-11,7.013839899447557525e-12,4.253216769005637865e-13,2.502225008758339243e-17,7.451242996138539576e-01
