# Position_mm,Temperature_K,H,O,H2,O2,OH,H2O,N2,N,NO,HO2,H2O2,AR,OH*,HE
0.000000000000000000e+00,3.000000000000000000e+02,7.160185273686567612e-20,1.424983749631604619e-19,1.303951931042422394e-02,2.299595121775541706e-01,-6.743129192905690241e-21,1.876358911484705294e-18,7.569722577097480753e-01,-1.175103249787364202e-18,5.946842236910934430e-18,8.021523595395565798e-18,-8.065876901106776084e-18,2.871080227355863657e-05,-2.073287654714110660e-20,-1.324599139479941746e-48
5.208333333333333565e-02,3.000000000000000568e+02,6.756364233487658729e-22,8.944358783422916110e-20,1.303951931042422394e-02,2.299595121775541706e-01,-1.084749966187325248e-20,1.856096093936663844e-18,7.569722577097480753e-01,-1.128463135750676437e-18,5.845274561938258436e-18,1.575647266886839988e-17,-8.065834852218639590e-18,2.871080227355863657e-05,-3.455962879600924886e-25,-1.291350260715025473e-48
1.041666666666666713e-01,3.000000000000000568e+02,5.384539224720068862e-24,3.869409337903794595e-20,1.303951931042422394e-02,2.299595121775541706e-01,-4.285561973975974214e-21,1.848077501809763646e-18,7.569722577097480753e-01,-1.083679050984012999e-18,5.747749145413366686e-18,1.581490891135117717e-17,-8.065841558075199923e-18,2.871080227355863657e-05,-5.787583007040758689e-30,-1.225813276762962723e-48
1.562500000000000000e-01,3.000000000000000568e+02,-3.661107467077739534e-25,-9.838562198647322624e-21,1.303951931042422394e-02,2.299595121775541706e-01,-1.720691738786595254e-21,1.844783546068479198e-18,7.569722577097480753e-01,-1.040676927856336604e-18,5.654104659555730782e-18,1.580910245708497417e-17,-8.065864299224415594e-18,2.871080227355863657e-05,-9.737017853814670327e-35,-1.133695121987116002e-48
2.083333333333333426e-01,3.000000000000000568e+02,-2.030974824936379940e-25,-5.624224551029784230e-20,1.303951931042422394e-02,2.299595121775541706e-01,-7.428271011013240189e-22,1.843236696372885637e-18,7.569722577097480753e-01,-9.993856629200423378e-19,5.564186233492585772e-18,1.580558544832911328e-17,-8.065892061687505710e-18,2.871080227355863657e-05,-1.645547560334346357e-39,-1.022651934434917532e-48
2.604166666666666852e-01,3.000000000000000568e+02,-1.344121220479235966e-25,-1.006022897247580901e-19,1.303951931042422394e-02,2.299595121775541706e-01,-3.942142377126619181e-22,1.842260835629047157e-18,7.569722577097480753e-01,-9.597369979612240686e-19,5.477845194129511970e-18,1.580279639971420830e-17,-8.065921262342467257e-18,2.871080227355863657e-05,-2.844664205784522476e-44,-9.008939418155506345e-49
3.125000000000000000e-01,3.000000000000000568e+02,-1.255757024255938245e-25,-1.430009269071323875e-19,1.303951931042422394e-02,2.299595121775541706e-01,-2.941652989763407651e-22,1.841394404924564388e-18,7.569722577097480753e-01,-9.216654058350316835e-19,5.394938817446178781e-18,1.579987019707158371e-17,-8.065950793944349371e-18,2.871080227355863657e-05,-5.365906773648923783e-46,-7.760930079080457002e-49
3.645833333333333703e-01,3.000000000000000568e+02,-1.399487152997809036e-25,-1.835171916902787255e-19,1.303951931042422394e-02,2.299595121775541706e-01,-2.913360751020878779e-22,1.840459284290545378e-18,7.569722577097480753e-01,-8.851079808932229964e-19,5.315330089796417918e-18,1.579647988756385048e-17,-8.065980342562808619e-18,2.871080227355863657e-05,-5.557376664718638951e-46,-6.546744623559365853e-49
4.166666666666666852e-01,3.000000000000000568e+02,-1.627672118604962151e-25,-2.222269798919903881e-19,1.303951931042422394e-02,2.299595121775541706e-01,-3.255713563236214226e-22,1.839389710366345846e-18,7.569722577097480753e-01,-8.500043338188887500e-19,5.238887478810268408e-18,1.579251391262150351e-17,-8.066009833393246848e-18,2.871080227355863657e-05,-5.744542174776135575e-46,-5.414704466265640496e-49
4.687500000000000555e-01,3.000000000000000568e+02,-1.881835871722823756e-25,-2.592031539614230184e-19,1.303951931042422394e-02,2.299595121775541706e-01,-3.729888484437187410e-22,1.838164359303937725e-18,7.569722577097480753e-01,-8.162964906908005767e-19,5.165484713510027908e-18,1.578794555644101706e-17,-8.066039256245202025e-18,2.871080227355863657e-05,-5.919017205811073636e-46,-4.396631815599624192e-49
