# Position_mm,Temperature_K,H,O,H2,O2,OH,H2O,N2,N,NO,HO2,H2O2,AR,OH*,HE
0.000000000000000000e+00,3.000000000000000000e+02,3.074549613526275232e-21,-8.112026704439900303e-20,2.852214669990387613e-02,2.263520957598026406e-01,-2.912547542066326593e-22,1.344003907082881263e-19,7.450974971295628579e-01,7.405787292347014406e-20,-1.276571957201864988e-20,8.236749594836868074e-21,-3.135620548410946807e-20,2.826041073068353806e-05,-9.022857110446130978e-21,0.000000000000000000e+00
1.388888888888888951e-01,3.000000000000000000e+02,1.282495815457630191e-23,-7.952953637610185041e-20,2.852214669990387613e-02,2.263520957598026406e-01,-3.075333948547114048e-21,1.273598302507206762e-19,7.450974971295628579e-01,7.290432169447817317e-20,-1.029346528819408420e-20,1.235808509427298276e-19,-3.135245043931865428e-20,2.826041073068353806e-05,-1.117726717553669014e-25,0.000000000000000000e+00
2.777777777777777901e-01,3.000000000000000000e+02,-4.979764649870139230e-25,-7.796478684392375085e-20,2.852214669990387613e-02,2.263520957598026406e-01,-1.070522621062612214e-21,1.248944188922638664e-19,7.450974971295628579e-01,7.176875755153405042e-20,-7.859760389850204225e-21,1.190501925724003053e-19,-3.134895814453182139e-20,2.826041073068353806e-05,-1.387834123940343557e-30,0.000000000000000000e+00
4.166666666666666297e-01,3.000000000000000000e+02,-2.563847976549754113e-25,-7.642560867543868925e-20,2.852214669990387613e-02,2.263520957598026406e-01,-4.244475694956973807e-22,1.239014375885072350e-19,7.450974971295628579e-01,7.065089974310007167e-20,-5.464003178173665516e-21,1.166674259462436416e-19,-3.134557279126559652e-20,2.826041073068353806e-05,-1.727252659291745989e-35,0.000000000000000000e+00
5.555555555555555802e-01,3.000000000000000000e+02,-1.560410197965434486e-25,-7.491159852678034610e-20,2.852214669990387613e-02,2.263520957598026406e-01,-2.149643307276420417e-22,1.233855152472976666e-19,7.450974971295628579e-01,6.955047190392461350e-20,-3.105601354923744441e-21,1.151786866562255609e-19,-3.134223641857986985e-20,2.826041073068353806e-05,-2.154695012777870691e-40,0.000000000000000000e+00
6.944444444444444198e-01,3.000000000000000000e+02,-1.221580210901419029e-25,-7.342235937068735654e-20,2.852214669990387613e-02,2.263520957598026406e-01,-1.459257278657139242e-22,1.230269734596291645e-19,7.450974971295628579e-01,6.846720198645250952e-20,-7.839718754325453633e-22,1.139928203594319829e-19,-3.133892978655556571e-20,2.826041073068353806e-05,-2.694091295917085496e-45,0.000000000000000000e+00
8.333333333333332593e-01,3.000000000000000000e+02,-1.097959172719274330e-25,-7.195750039770140695e-20,2.852214669990387613e-02,2.263520957598026406e-01,-1.221325317974452247e-22,1.227229882330388765e-19,7.450974971295628579e-01,6.740082219330867525e-20,1.501459196094196650e-21,1.129186891143772823e-19,-3.133564645417870973e-20,2.826041073068353806e-05,-3.376064198750864865e-50,0.000000000000000000e+00
9.722222222222222099e-01,3.000000000000000000e+02,-1.043946136448845653e-25,-7.051663691891255148e-20,2.852214669990387613e-02,2.263520957598026406e-01,-1.129483786627496698e-22,1.224404073542290785e-19,7.450974971295628579e-01,6.635106891083856297e-20,3.751256829011624128e-21,1.118945486068197478e-19,-3.133238420432426290e-20,2.826041073068353806e-05,-4.239821577614305821e-55,0.000000000000000000e+00
1.111111111111111160e+00,3.000000000000000000e+02,-1.012625756698561462e-25,-6.909939027020855949e-20,2.852214669990387613e-02,2.263520957598026406e-01,-1.085029793130630605e-22,1.221684880378004366e-19,7.450974971295628579e-01,6.531768264368863079e-20,5.965977166441410847e-21,1.109002785226884686e-19,-3.132914221520270869e-20,2.826041073068353806e-05,-5.335583778815976325e-60,0.000000000000000000e+00
1.250000000000000000e+00,3.000000000000000000e+02,-9.888633942683021098e-26,-6.770538771801715965e-20,2.852214669990387613e-02,2.263520957598026406e-01,-1.056126058929682328e-22,1.219037039086947667e-19,7.450974971295628579e-01,6.430040795041051567e-20,8.146167663282974790e-21,1.099291642060827873e-19,-3.132592012674632546e-20,2.826041073068353806e-05,-6.727325558795044462e-65,0.000000000000000000e+00
1.388888888888888840e+00,3.000000000000000000e+02,-9.677689369037321964e-26,-6.633426236652171665e-20,2.852214669990387613e-02,2.263520957598026406e-01,-1.032489427357491376e-22,1.216448556779287378e-19,7.450974971295628579e-01,6.329899338007312986e-20,1.029236722206520605e-20,1.089788156523086393e-19,-3.132271773227199121e-20,2.826041073068353806e-05,2.386591316774382651e-69,0.000000000000000000e+00
1.527777777777777901e+00,3.000000000000000000e+02,-9.477582650405839452e-26,-6.498565306632846940e-20,2.852214669990387613e-02,2.263520957598026406e-01,-1.010792394441396841e-22,1.213914959465024629e-19,7.450974971295628579e-01,6.231319140986658724e-20,1.240510632667189585e-20,1.080482418783605501e-19,-3.131953487659539697e-20,2.826041073068353806e-05,3.283774016725912931e-69,0.000000000000000000e+00
