#time,T,H,O,H2,O2,OH,H2O,N2,N,NO,HO2,H2O2,AR,OH*,HE
0.0,1000.0,0.0,0.0,0.013039519310424222,0.22995951217755417,0.0,0.0,0.756972257709748,0.0,0.0,0.0,0.0,2.8710802273558637e-05,0.0,0.0
1e-06,1000.0000118349117,2.8703792378305006e-10,3.342375793243857e-10,0.013039518159726544,0.22995950300280033,1.5940344365894176e-09,6.40918159626326e-09,0.756972257709748,4.601626916056778e-24,9.426474056418879e-23,1.7008300387729392e-09,1.307830621193371e-13,2.8710802273558637e-05,3.236764250141158e-23,0.0
2e-06,1000.0000483134576,5.881364914548819e-10,1.1786866426917308e-09,0.01303951659689925,0.22995948773316083,1.9566685857516576e-09,1.5899556599026433e-08,0.756972257709748,2.7113750951948994e-23,3.105757986700655e-22,7.533643453958352e-09,1.2273487085429706e-12,2.8710802273558637e-05,2.34393645747989e-22,0.0
3e-06,1000.0001052951887,8.723280152873245e-10,2.1898841402993688e-09,0.013039514711350054,0.22995946680496354,2.3347531769401126e-09,2.7369071324268814e-08,0.756972257709748,6.233614749607849e-23,7.408287017145865e-22,1.720131591567977e-08,4.3130484407403686e-12,2.8710802273558637e-05,6.462987064726349e-22,0.0
4e-06,1000.0001824927677,1.1539839215260236e-09,3.255831375094262e-09,0.01303951248452136,0.22995944038032598,2.7221505922500807e-09,4.088823922027108e-08,0.756972257709748,1.0317927274539035e-22,1.4255322152626838e-21,3.05925701603673e-08,1.0356582611625545e-11,2.8710802273558637e-05,1.2714868964443754e-21,0.0
4.9999999999999996e-06,1000.0002799961551,1.437233163733118e-09,4.345705019586101e-09,0.013039509908182131,0.22995940846031268,3.11537980932299e-09,5.649565481661078e-08,0.756972257709748,1.463322637312405e-22,2.3810022699594038e-21,4.7705190623597035e-08,2.032097246062656e-11,2.8710802273558637e-05,2.113991386191591e-21,0.0
5.999999999999999e-06,1000.0003979996904,1.723261048145304e-09,5.451167349089662e-09,0.013039506977098454,0.22995937100030547,3.513551842727465e-09,7.421964933897731e-08,0.756972257709748,1.9057554851671285e-22,3.614674155740852e-21,6.856776420381624e-08,3.518149452291838e-11,2.8710802273558637e-05,3.1797894784232706e-21,0.0
6.999999999999999e-06,1000.0005367307278,2.01244132848853e-09,6.570101106905258e-09,0.0130395036867977,0.2299593279422072,3.9165055888906715e-09,9.408616472129877e-08,0.756972257709748,2.355081781623347e-22,5.131059009559116e-21,9.321782922655951e-08,5.593233637117523e-11,2.8710802273558637e-05,4.475916524916419e-21,0.0
8e-06,1000.0006964300991,2.304926726983998e-09,7.702108665022176e-09,0.013039500032945921,0.22995927922331397,4.324285101584184e-09,1.1612096017428488e-07,0.756972257709748,2.8101038119957013e-22,6.933791167801966e-21,1.216958484467732e-07,8.359019490923762e-11,2.8710802273558637e-05,6.010002613434036e-21,0.0
9e-06,1000.0008773469633,2.600811112739367e-09,8.847277774710437e-09,0.01303949601117359,0.22995922477870726,4.7369944190230054e-09,1.4035024079172477e-07,0.756972257709748,3.2705327140901095e-22,9.026283847724029e-21,1.540435771365588e-07,1.1919708837036863e-10,2.8710802273558637e-05,7.790102905629238e-21,0.0
1e-05,1000.0010797375916,2.900174335905295e-09,1.0005840690283056e-08,0.013039491617024232,0.22995916454187149,5.154759098455299e-09,1.6680085200765094e-07,0.756972257709748,3.7363655454061983e-22,1.1411933525112918e-20,1.903036342748316e-07,1.6382301924099204e-10,2.8710802273558637e-05,9.824596780256663e-21,0.0
1.1000000000000001e-05,1000.0013038651996,3.2030963620068516e-09,1.1178068121546676e-08,0.01303948684593497,0.22995909844484405,5.577713443184995e-09,1.955003630806636e-07,0.756972257709748,4.2076681874327804e-22,1.409419088430619e-20,2.305193904432974e-07,2.1856865768310994e-10,2.8710802273558637e-05,1.2122284101387807e-20,0.0
