# time,O2,AR,O,H2O2,HO2,T,H2O,NO,N2,OH,H2,OH*,HE,N,H
0.0,0.229967,2.92494e-05,0.0,0.0,0.0,1000.0,0.0,0.0,0.756964,0.0,0.0130393,0.0,0,0.0,0.0
1e-06,0.229967,2.92494e-05,3.35055e-10,1.30888e-13,1.70313e-09,1000.0,6.41661e-09,9.44179e-23,0.756964,1.59588e-09,0.0130393,3.24169e-23,0,4.6176e-24,2.87318e-10
2e-06,0.229967,2.92494e-05,1.18405e-09,1.17594e-12,7.54477e-09,1000.0,1.5916e-08,3.0992799999999998e-22,0.756964,1.95951e-09,0.0130393,2.20526e-22,0,2.7516e-23,5.8835e-10
3e-06,0.229967,2.92494e-05,2.19532e-09,4.213e-12,1.72197e-08,1000.0,2.74003e-08,7.41909e-22,0.756964,2.33796e-09,0.0130393,6.3236e-22,0,6.28049e-23,8.73134e-10
4e-06,0.229967,2.92494e-05,3.26196e-09,1.02109e-11,3.06242e-08,1000.0,4.09379e-08,1.4293399999999999e-21,0.756964,2.72594e-09,0.0130393,1.2589e-21,0,1.03679e-22,1.15536e-09
5e-06,0.229967,2.92494e-05,4.35332e-09,2.01341e-11,4.77567e-08,1000.0,5.65674e-08,2.38837e-21,0.756964,3.11987e-09,0.0130393,2.10389e-21,0,1.46919e-22,1.43914e-09
6e-06,0.229967,2.92494e-05,5.46075e-09,3.49598e-11,6.8646e-08,1000.0,7.43179e-08,3.62657e-21,0.756964,3.51885e-09,0.0130393,3.17329e-21,0,1.9129599999999999e-22,1.7257e-09
7e-06,0.229967,2.92494e-05,6.58194e-09,5.56842e-11,9.33299e-08,1000.0,9.42156e-08,5.14857e-21,0.756964,3.92269e-09,0.0130393,4.4741899999999994e-21,0,2.36391e-22,2.01544e-09
8e-06,0.229967,2.92494e-05,7.71644e-09,8.33261e-11,1.21849e-07,1000.0,1.16287e-07,6.958099999999999e-21,0.756964,4.33142e-09,0.0130393,6.01432e-21,0,2.82073e-22,2.30852e-09
9e-06,0.229967,2.92494e-05,8.86429e-09,1.1893e-10,1.54247e-07,1000.0,1.40558e-07,9.05864e-21,0.756964,4.74515e-09,0.0130393,7.80182e-21,0,3.28307e-22,2.60505e-09
1e-05,0.229967,2.92494e-05,1.00257e-08,1.63568e-10,1.90565e-07,1000.0,1.67056e-07,1.14537e-20,0.756964,5.16401e-09,0.0130393,9.84526e-21,0,3.7508999999999998e-22,2.9051e-09
1.1e-05,0.229967,2.92494e-05,1.1201e-08,2.18344e-10,2.30849e-07,1000.0,1.95809e-07,1.41467e-20,0.756964,5.58812e-09,0.0130393,1.2153499999999999e-20,0,4.22431e-22,3.20875e-09
1.2e-05,0.229967,2.92494e-05,1.23905e-08,2.84396e-10,2.75142e-07,1000.0,2.26846e-07,1.7141199999999997e-20,0.756964,6.01764e-09,0.0130393,1.4736e-20,0,4.703399999999999e-22,3.5161e-09
1.3e-05,0.229967,2.92494e-05,1.35944e-08,3.62896e-10,3.23491e-07,1000.0,2.60197e-07,2.0440899999999998e-20,0.756964,6.45271e-09,0.0130393,1.7602199999999998e-20,0,5.1883e-22,3.82722e-09
1.4e-05,0.229967,2.92494e-05,1.48132e-08,4.55058e-10,3.75941e-07,1000.0,2.95891e-07,2.4049599999999996e-20,0.756964,6.89349e-09,0.0130393,2.07624e-20,0,5.67914e-22,4.1422e-09
1.5e-05,0.229967,2.92494e-05,1.60472e-08,5.62138e-10,4.32541e-07,1000.0,3.3396e-07,2.7971e-20,0.756964,7.34016e-09,0.0130393,2.42272e-20,0,6.17606e-22,4.46114e-09
1.6e-05,0.229966,2.92494e-05,1.72967e-08,6.85438e-10,4.93338e-07,1000.0,3.74436e-07,3.2209099999999996e-20,0.756964,7.79287e-09,0.0130392,2.8007499999999995e-20,0,6.67921e-22,4.78413e-09
1.7e-05,0.229966,2.92494e-05,1.85622e-08,8.2631e-10,5.58381e-07,1000.0,4.17352e-07,3.6767899999999994e-20,0.756964,8.25181e-09,0.0130392,3.2115e-20,0,7.18875e-22,5.11128e-09
1.8e-05,0.229966,2.92494e-05,1.9844e-08,9.86155e-10,6.27721e-07,1000.0,4.62743e-07,4.1651399999999996e-20,0.756964,8.71716e-09,0.0130392,3.65618e-20,0,7.70484e-22,5.4427e-09
1.9e-05,0.229966,2.92494e-05,2.11426e-08,1.16643e-09,7.01409e-07,1000.0,5.10644e-07,4.6864e-20,0.756964,9.18912e-09,0.0130392,4.1360599999999994e-20,0,8.22765e-22,5.77848e-09
2e-05,0.229966,2.92494e-05,2.24584e-08,1.36867e-09,7.79496e-07,1000.0,5.6109e-07,5.2409899999999995e-20,0.756964,9.6679e-09,0.0130392,4.6524599999999993e-20,0,8.75735e-22,6.11876e-09
2.1e-05,0.229966,2.92494e-05,2.37919e-08,1.59444e-09,8.62037e-07,1000.0,6.1412e-07,5.82936e-20,0.756964,1.01537e-08,0.0130392,5.2067899999999996e-20,0,9.29412e-22,6.46365e-09
2.2e-05,0.229966,2.92494e-05,2.51436e-08,1.8454e-09,9.49085e-07,1000.01,6.69771e-07,6.451959999999999e-20,0.756964,1.06468e-08,0.0130392,5.8005e-20,0,9.83816e-22,6.81328e-09
2.3e-05,0.229966,2.92494e-05,2.65139e-08,2.12327e-09,1.0407e-06,1000.01,7.28085e-07,7.10927e-20,0.756964,1.11473e-08,0.0130392,6.435139999999999e-20,0,1.03897e-21,7.16778e-09
