# time,O2,AR,O,H2O2,HO2,T,H2O,NO,N2,OH,H2,OH*,HE,N,H
0.0,0.22636,2.82593e-05,0.0,0.0,0.0,1000.0,0.0,0.0,0.74509,0.0,0.0285216,0.0,0,0.0,0.0
1e-06,0.22636,2.82593e-05,5.09332e-10,5.45677e-13,3.65957e-09,1000.0,1.32601e-08,8.71502e-23,0.74509,1.6298e-09,0.0285216,6.27565e-23,0,6.648390000000001e-24,6.00675e-10
2e-06,0.22636,2.82593e-05,1.47495e-09,4.58265e-12,1.52777e-08,1000.0,3.1255e-08,3.04564e-22,0.74509,1.9886e-09,0.0285216,3.63008e-22,0,3.32112e-23,1.19445e-09
3e-06,0.22636,2.82593e-05,2.47879e-09,1.59184e-11,3.43113e-08,1000.0,5.28451e-08,7.14739e-22,0.74509,2.34813e-09,0.0285216,8.79903e-22,0,6.95476e-23,1.76045e-09
4e-06,0.22636,2.82593e-05,3.46208e-09,3.80519e-11,6.04734e-08,1000.0,7.79704e-08,1.33237e-21,0.74509,2.6985e-09,0.0285216,1.6286399999999999e-21,0,1.08641e-22,2.30767e-09
5e-06,0.22636,2.82593e-05,4.41694e-09,7.43574e-11,9.35326e-08,1000.0,1.06532e-07,2.1575999999999996e-21,0.74509,3.03863e-09,0.0285216,2.56722e-21,0,1.47814e-22,2.83801e-09
6e-06,0.22636,2.82593e-05,5.34312e-09,1.28127e-10,1.33272e-07,1000.0,1.38428e-07,3.1861399999999997e-21,0.74509,3.36869e-09,0.0285216,3.67705e-21,0,1.8619799999999999e-22,3.3523e-09
7e-06,0.22636,2.82593e-05,6.24152e-09,2.02581e-10,1.79485e-07,1000.0,1.73561e-07,4.41245e-21,0.74509,3.6891e-09,0.0285216,4.9413199999999996e-21,0,2.23547e-22,3.85117e-09
8e-06,0.22636,2.82593e-05,7.11321e-09,3.00875e-10,2.3197e-07,1000.0,2.11837e-07,5.8308e-21,0.74509,4.00023e-09,0.0285216,6.3446999999999994e-21,0,2.59815e-22,4.33524e-09
9e-06,0.22636,2.82593e-05,7.95922e-09,4.26104e-10,2.90535e-07,1000.0,2.53166e-07,7.435539999999999e-21,0.74509,4.30249e-09,0.0285216,7.87321e-21,0,2.9501899999999997e-22,4.80507e-09
1e-05,0.22636,2.82593e-05,8.78057e-09,5.81317e-10,3.54993e-07,1000.0,2.97461e-07,9.2212e-21,0.74509,4.59626e-09,0.0285216,9.514099999999998e-21,0,3.29192e-22,5.26123e-09
1.1e-05,0.22636,2.82593e-05,9.57826e-09,7.69515e-10,4.25166e-07,1000.0,3.44642e-07,1.1182499999999999e-20,0.74509,4.88191e-09,0.0285216,1.1255699999999999e-20,0,3.62374e-22,5.70427e-09
1.2e-05,0.226359,2.82593e-05,1.03533e-08,9.9366e-10,5.00881e-07,1000.0,3.94628e-07,1.3314499999999998e-20,0.74509,5.15978e-09,0.0285215,1.3087299999999999e-20,0,3.94604e-22,6.13472e-09
1.3e-05,0.226359,2.82593e-05,1.11065e-08,1.25668e-09,5.81973e-07,1000.0,4.47345e-07,1.5612299999999998e-20,0.74509,5.43024e-09,0.0285215,1.4999399999999998e-20,0,4.2592e-22,6.55311e-09
1.4e-05,0.226359,2.82593e-05,1.18389e-08,1.56148e-09,6.68283e-07,1000.0,5.02721e-07,1.80711e-20,0.74509,5.6936e-09,0.0285215,1.69833e-20,0,4.563599999999999e-22,6.95992e-09
1.5e-05,0.226359,2.82593e-05,1.25513e-08,1.91092e-09,7.59657e-07,1000.0,5.60687e-07,2.0686699999999998e-20,0.74509,5.9502e-09,0.0285215,1.9030899999999997e-20,0,4.85961e-22,7.35566e-09
1.6e-05,0.226359,2.82593e-05,1.32445e-08,2.30787e-09,8.55949e-07,1000.0,6.21178e-07,2.3454799999999996e-20,0.74509,6.20034e-09,0.0285215,2.1135299999999997e-20,0,5.14759e-22,7.74078e-09
1.7e-05,0.226359,2.82593e-05,1.39195e-08,2.75516e-09,9.57017e-07,1000.0,6.84132e-07,2.6371099999999998e-20,0.74509,6.44432e-09,0.0285215,2.329e-20,0,5.42788e-22,8.11575e-09
1.8e-05,0.226359,2.82593e-05,1.4577e-08,3.25562e-09,1.06273e-06,1000.01,7.49489e-07,2.9432000000000003e-20,0.74509,6.68243e-09,0.0285215,2.54892e-20,0,5.700799999999999e-22,8.48101e-09
